# robin saxs scatter per-frame SAXS profile
# topology: pnt_STARLING.pdb
# trajectory: pnt_STARLING.xtc
# frame: 508 (original trajectory frame 508)
# selection: not element H
# c1=1.0  c2=2.0
# q (Å⁻¹)          I(q)
  5.0000000000e-03   7.1115550000e+05
  1.0000000000e-02   6.6032150000e+05
  1.5000000000e-02   5.8469125000e+05
  2.0000000000e-02   4.9538725000e+05
  2.5000000000e-02   4.0387175000e+05
  3.0000000000e-02   3.1956575000e+05
  3.5000000000e-02   2.4845700000e+05
  4.0000000000e-02   1.9287925000e+05
  4.5000000000e-02   1.5221500000e+05
  5.0000000000e-02   1.2405868750e+05
  5.5000000000e-02   1.0532918750e+05
  6.0000000000e-02   9.3044187500e+04
  6.5000000000e-02   8.4714375000e+04
  7.0000000000e-02   7.8450750000e+04
  7.5000000000e-02   7.2953750000e+04
  8.0000000000e-02   6.7461375000e+04
  8.5000000000e-02   6.1684156250e+04
  9.0000000000e-02   5.5700625000e+04
  9.5000000000e-02   4.9808875000e+04
  1.0000000000e-01   4.4357531250e+04
  1.0500000000e-01   3.9612453125e+04
  1.1000000000e-01   3.5687390625e+04
  1.1500000000e-01   3.2549890625e+04
  1.2000000000e-01   3.0070015625e+04
  1.2500000000e-01   2.8079421875e+04
  1.3000000000e-01   2.6414765625e+04
  1.3500000000e-01   2.4941296875e+04
  1.4000000000e-01   2.3563609375e+04
  1.4500000000e-01   2.2230109375e+04
  1.5000000000e-01   2.0929328125e+04
  1.5500000000e-01   1.9678328125e+04
  1.6000000000e-01   1.8500875000e+04
  1.6500000000e-01   1.7408984375e+04
  1.7000000000e-01   1.6394281250e+04
  1.7500000000e-01   1.5436867188e+04
  1.8000000000e-01   1.4522578125e+04
  1.8500000000e-01   1.3656867188e+04
  1.9000000000e-01   1.2864156250e+04
  1.9500000000e-01   1.2173437500e+04
  2.0000000000e-01   1.1599234375e+04
  2.0500000000e-01   1.1129812500e+04
  2.1000000000e-01   1.0730375000e+04
  2.1500000000e-01   1.0357117188e+04
  2.2000000000e-01   9.9742656250e+03
  2.2500000000e-01   9.5650585938e+03
  2.3000000000e-01   9.1334414062e+03
  2.3500000000e-01   8.6993046875e+03
  2.4000000000e-01   8.2904843750e+03
  2.4500000000e-01   7.9354804688e+03
  2.5000000000e-01   7.6565234375e+03
  2.5500000000e-01   7.4636523438e+03
  2.6000000000e-01   7.3507695312e+03
  2.6500000000e-01   7.2963710938e+03
  2.7000000000e-01   7.2697656250e+03
  2.7500000000e-01   7.2412343750e+03
  2.8000000000e-01   7.1911953125e+03
  2.8500000000e-01   7.1135507812e+03
  2.9000000000e-01   7.0131328125e+03
  2.9500000000e-01   6.8992929688e+03
  3.0000000000e-01   6.7807304688e+03
  3.0500000000e-01   6.6642890625e+03
  3.1000000000e-01   6.5570820312e+03
  3.1500000000e-01   6.4680507812e+03
  3.2000000000e-01   6.4072968750e+03
  3.2500000000e-01   6.3824218750e+03
  3.3000000000e-01   6.3954257812e+03
  3.3500000000e-01   6.4421132812e+03
  3.4000000000e-01   6.5143242188e+03
  3.4500000000e-01   6.6021210938e+03
  3.5000000000e-01   6.6933828125e+03
  3.5500000000e-01   6.7711210938e+03
  3.6000000000e-01   6.8114882812e+03
  3.6500000000e-01   6.7870937500e+03
  3.7000000000e-01   6.6764062500e+03
  3.7500000000e-01   6.4754648438e+03
  3.8000000000e-01   6.2047578125e+03
  3.8500000000e-01   5.9058085938e+03
  3.9000000000e-01   5.6273984375e+03
  3.9500000000e-01   5.4078554688e+03
  4.0000000000e-01   5.2620234375e+03
  4.0500000000e-01   5.1795078125e+03
  4.1000000000e-01   5.1336093750e+03
  4.1500000000e-01   5.0958164062e+03
  4.2000000000e-01   5.0476171875e+03
  4.2500000000e-01   4.9846132812e+03
  4.3000000000e-01   4.9132578125e+03
  4.3500000000e-01   4.8437148438e+03
  4.4000000000e-01   4.7836796875e+03
  4.4500000000e-01   4.7360742188e+03
  4.5000000000e-01   4.6995507812e+03
  4.5500000000e-01   4.6707031250e+03
  4.6000000000e-01   4.6453476562e+03
  4.6500000000e-01   4.6189863281e+03
  4.7000000000e-01   4.5867460938e+03
  4.7500000000e-01   4.5440703125e+03
  4.8000000000e-01   4.4878984375e+03
  4.8500000000e-01   4.4178476562e+03
  4.9000000000e-01   4.3369375000e+03
  4.9500000000e-01   4.2510410156e+03
  5.0000000000e-01   4.1675449219e+03
